Date,その他
2023/10/10,
2023/10/11,
2023/10/12,
2023/10/13,
2023/10/16,
2023/10/17,1426.433228
2023/10/18,
2023/10/19,
2023/10/20,
2023/10/23,
2023/10/24,
2023/10/25,
2023/10/26,
2023/10/27,
2023/10/30,
2023/10/31,
2023/11/1,
2023/11/2,
2023/11/6,
2023/11/7,
2023/11/8,
2023/11/9,
2023/11/10,
2023/11/13,
2023/11/14,
2023/11/15,
2023/11/16,
2023/11/17,
2023/11/20,
2023/11/21,2104.669189
2023/11/22,
2023/11/24,
2023/11/27,
2023/11/28,
2023/11/29,
2023/11/30,
2023/12/1,
2023/12/4,
2023/12/5,
2023/12/6,
2023/12/7,
2023/12/8,
2023/12/11,
2023/12/12,
2023/12/13,2683.793213
2023/12/14,
2023/12/15,
2023/12/18,
2023/12/19,
2023/12/20,
2023/12/21,
2023/12/22,
2023/12/25,
2023/12/26,
2023/12/27,
2023/12/28,
2023/12/29,
2024/1/4,
2024/1/5,
2024/1/9,
2024/1/10,
2024/1/11,
2024/1/12,
2024/1/15,
2024/1/16,2365.080811
2024/1/17,2397.14624
2024/1/18,
2024/1/19,
2024/1/22,
2024/1/23,
2024/1/24,
2024/1/25,
2024/1/26,
2024/1/29,
2024/1/30,
2024/1/31,
2024/2/1,
2024/2/2,
2024/2/5,
2024/2/6,
2024/2/7,
2024/2/8,
2024/2/9,
2024/2/13,2759.584717
2024/2/14,
2024/2/15,
2024/2/16,
2024/2/19,
2024/2/20,
2024/2/21,
2024/2/22,
2024/2/26,
2024/2/27,
2024/2/28,
2024/2/29,
2024/3/1,
2024/3/4,
2024/3/5,
2024/3/6,
2024/3/7,
2024/3/8,
2024/3/11,
2024/3/12,
2024/3/13,
2024/3/14,
2024/3/15,
2024/3/18,
2024/3/19,
2024/3/21,
2024/3/22,
2024/3/25,
2024/3/26,
2024/3/27,
2024/3/28,
2024/3/29,
2024/4/1,
2024/4/2,
2024/4/3,
2024/4/4,
2024/4/5,
2024/4/8,
2024/4/9,
2024/4/10,
2024/4/11,
2024/4/12,
2024/4/15,
2024/4/16,2012.359131
2024/4/17,
2024/4/18,
2024/4/19,
2024/4/22,
2024/4/23,
2024/4/24,
2024/4/25,
2024/4/26,
2024/4/30,
2024/5/1,
2024/5/2,
2024/5/7,
2024/5/8,
2024/5/9,
2024/5/10,
2024/5/13,
2024/5/14,
2024/5/15,
2024/5/16,
2024/5/17,
2024/5/20,
2024/5/21,
2024/5/22,
2024/5/23,
2024/5/24,
2024/5/27,
2024/5/28,
2024/5/29,
2024/5/30,
2024/5/31,
2024/6/3,
2024/6/4,
2024/6/5,
2024/6/6,
2024/6/7,
2024/6/10,
2024/6/11,
2024/6/12,
2024/6/13,
2024/6/14,
2024/6/17,
2024/6/18,
2024/6/19,
2024/6/20,
2024/6/21,
2024/6/24,
2024/6/25,
2024/6/26,
2024/6/27,
2024/6/28,
2024/7/1,
2024/7/2,
2024/7/3,
2024/7/4,
2024/7/5,
2024/7/8,
2024/7/9,
2024/7/10,
2024/7/11,
2024/7/12,
2024/7/16,
2024/7/17,
2024/7/18,
2024/7/19,
2024/7/22,
2024/7/23,
2024/7/24,
2024/7/25,
2024/7/26,
2024/7/29,
2024/7/30,
2024/7/31,
2024/8/1,
2024/8/2,
2024/8/5,
2024/8/6,
2024/8/7,
2024/8/8,
2024/8/9,
2024/8/13,
2024/8/14,
2024/8/15,
2024/8/16,
2024/8/19,
2024/8/20,
2024/8/21,
2024/8/22,
2024/8/23,
2024/8/26,2292
2024/8/27,
2024/8/28,
2024/8/29,
2024/8/30,
2024/9/2,
2024/9/3,
2024/9/4,
2024/9/5,
2024/9/6,
2024/9/9,
2024/9/10,
2024/9/11,
2024/9/12,
2024/9/13,
2024/9/17,
2024/9/18,
2024/9/19,
2024/9/20,
2024/9/24,
2024/9/25,
2024/9/26,
2024/9/27,
2024/9/30,
2024/10/1,
2024/10/2,
2024/10/3,
2024/10/4,
2024/10/7,
2024/10/8,
2024/10/9,
